,react,C0C7_num
39,COc1cc(OC)cc([Mg]Br)c1,[Mg]([c:1]1[cH:2][c:4]([O:4][CH3:4])[cH:4][c:4]([O:4][CH3:4])[cH:3]1)[Br:4]
40,FC(F)(F)c1ccc([Mg]Br)cc1,[Mg]([c:1]1[cH:2][cH:4][c:4]([C:4]([F:4])([F:4])[F:4])[cH:4][cH:3]1)[Br:4]
41,OB(O)c1ccccc1,B([c:1]1[cH:2][cH:6][cH:6][cH:6][cH:3]1)([OH:4])[OH:5]
42,CC1(C)OB(c2ccccc2)OC1(C)C,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][cH:3]2)[O:4][C:6]([CH3:6])([CH3:6])[C:6]([CH3:6])([CH3:6])[O:5]1
43,Cc1ccccc1B(O)O,B([c:1]1[cH:2][cH:6][cH:6][cH:6][c:3]1[CH3:6])([OH:4])[OH:5]
44,Cc1ccc(B(O)O)cc1,B([c:1]1[cH:2][cH:6][c:6]([CH3:6])[cH:6][cH:3]1)([OH:4])[OH:5]
45,OB(O)c1cccc2ccccc12,B([c:1]1[cH:2][cH:6][cH:6][c:6]2[c:3]1[cH:6][cH:6][cH:6][cH:6]2)([OH:4])[OH:5]
46,COc1ccc(B(O)O)cc1,B([c:1]1[cH:2][cH:6][c:6]([O:6][CH3:6])[cH:6][cH:3]1)([OH:4])[OH:5]
47,OB(O)c1cccc(C(F)(F)F)c1,B([c:1]1[cH:2][cH:6][cH:6][c:6]([C:6]([F:6])([F:6])[F:6])[cH:3]1)([OH:4])[OH:5]
48,CCOC(=O)c1ccc(B(O)O)cc1,B([c:1]1[cH:2][cH:6][c:6]([C:6](=[O:6])[O:6][CH2:6][CH3:6])[cH:6][cH:3]1)([OH:4])[OH:5]
49,OB(O)c1ccc(F)cc1,B([c:1]1[cH:2][cH:6][c:6]([F:6])[cH:6][cH:3]1)([OH:4])[OH:5]
50,OB(O)c1ccsc1,B([c:1]1[cH:2][cH:6][s:6][cH:3]1)([OH:4])[OH:5]
51,OB(O)c1ccc(-c2ccc(-c3ccc(Cl)cc3)cc2)cc1,B([c:1]1[cH:2][cH:6][c:6](-[c:6]2[cH:6][cH:6][c:6](-[c:6]3[cH:6][cH:6][c:6]([Cl:6])[cH:6][cH:6]3)[cH:6][cH:6]2)[cH:6][cH:3]1)([OH:4])[OH:5]
52,Cn1cnc2ccccc21,[c:1]([H:0])1[n:2]([CH3:11])[c:5]2[c:4]([n:3]1)[cH:12][cH:6][cH:7][cH:8]2
53,Cc1cc2ncn(C)c2cc1C,[c:1]([H:0])1[n:2][c:4]2[c:5]([n:3]1[CH3:7])[cH:9][c:10]([CH3:11])[c:16]([CH3:13])[cH:15]2
54,CCn1cnc2ccccc21,[c:1]([H:0])1[n:2]([CH2:13][CH3:12])[c:5]2[c:4]([n:3]1)[cH:6][cH:7][cH:8][cH:9]2
55,c1ccc(Cn2cnc3ccccc32)cc1,[c:1]([H:0])1[n:2]([CH2:21][c:20]2[cH:14][cH:15][cH:17][cH:19][cH:18]2)[c:5]2[c:4]([n:3]1)[cH:9][cH:10][cH:11][cH:12]2
56,c1ccc(-n2cnc3ccccc32)cc1,[c:1]([H:0])1[n:2](-[c:19]2[cH:13][cH:14][cH:16][cH:18][cH:17]2)[c:5]2[c:4]([n:3]1)[cH:8][cH:9][cH:10][cH:11]2
