,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,X_1,X_2,X_3,Y_0,Y_1,Y_2,Y_3,Z_0,Z_1,Z_2,Z_3,VBur_0,VBur_1,VBur_2,VBur_3,Mulliken_charge_0,Mulliken_charge_1,Mulliken_charge_2,Mulliken_charge_3,APT_charge_0,APT_charge_1,APT_charge_2,APT_charge_3,NPA_charge_0,NPA_charge_1,NPA_charge_2,NPA_charge_3,NPA_core_0,NPA_core_1,NPA_core_2,NPA_core_3,NPA_valence_0,NPA_valence_1,NPA_valence_2,NPA_valence_3,NPA_Rydberg_0,NPA_Rydberg_1,NPA_Rydberg_2,NPA_Rydberg_3,NPA_total_0,NPA_total_1,NPA_total_2,NPA_total_3,NMR_shift_0,NMR_shift_1,NMR_shift_2,NMR_shift_3,NMR_anisotropy_0,NMR_anisotropy_1,NMR_anisotropy_2,NMR_anisotropy_3,ES_root_Mulliken_charge_0,ES_root_Mulliken_charge_1,ES_root_Mulliken_charge_2,ES_root_Mulliken_charge_3,ES_root_NPA_charge_0,ES_root_NPA_charge_1,ES_root_NPA_charge_2,ES_root_NPA_charge_3,ES_root_NPA_core_0,ES_root_NPA_core_1,ES_root_NPA_core_2,ES_root_NPA_core_3,ES_root_NPA_valence_0,ES_root_NPA_valence_1,ES_root_NPA_valence_2,ES_root_NPA_valence_3,ES_root_NPA_Rydberg_0,ES_root_NPA_Rydberg_1,ES_root_NPA_Rydberg_2,ES_root_NPA_Rydberg_3,ES_root_NPA_total_0,ES_root_NPA_total_1,ES_root_NPA_total_2,ES_root_NPA_total_3,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0,at_1,at_2,at_3
CNCc1ccccc1,20,0,1,0.9413,121.1816,1194.091,1521.8434,-366.213538789,0.174858,0.183311,0.184256,0.141032,-366.04084,-366.032387,-366.031442,-366.074666,C8H11N,1.0,-0.21989,0.00367,0.10811,0.11178,12.3945,1107.562,1523.8318,-1.994755,-2.227179,-3.646708,-1.365036,-0.352353,-0.381649,-0.103769,0.558664,-1.303921,-0.312523,-0.132735,0.400343,0.41810887350534925,0.5203744493392071,0.3724826935179358,0.5462555066079295,0.297568,-0.540023,-0.298109,-0.186703,0.105415,-0.530005,0.403571,0.427893,0.37943,-0.68835,-0.47107,-0.26432,0.00000,1.99957,1.99951,1.99929,0.61794,5.67375,4.45971,4.24955,0.00263,0.01503,0.01185,0.01548,0.62057,7.68835,6.47107,6.26432,32.154,216.0472,152.5324,132.3129,9.5515,45.3168,52.663,40.5531,,0.110070,0.311408,0.099219,0.42930,-0.17099,-0.53921,-0.30305,0.00000,1.99933,1.99945,1.99922,0.56676,5.16508,4.52781,4.28701,0.00394,0.00658,0.01195,0.01681,0.57070,7.17099,6.53921,6.30305,235.25,232.55,223.82,201.25,173.7,173.42,170.05,159.95,159.02,158.04,0.0028,0.0031,0.0031,0.029,0.5761,0.5676,0.0408,0.0003,0.0031,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,N,C,C
COC(=O)c1ncoc1C,17,0,1,1.2589,141.1262,1083.228,1535.7122,-513.269561589,0.129826,0.139424,0.140368,0.094322,-513.143504,-513.133906,-513.132962,-513.179008,C6H7NO3,1.0,-0.25095,-0.03266,0.14180500000000001,0.109145,2.2493,1001.165,1532.3833,2.592827,1.917788,0.630165,2.491699,-2.438494,-1.595092,-1.591942,-0.355685,-0.000384,-0.000199,0.000205,-0.000289,0.2883102580239144,0.4227501573316551,0.48363750786658277,0.47451227186910006,0.179447,0.251134,-0.435149,-0.419230,0.075816,0.288935,-0.328190,-0.507412,0.22330,0.33552,-0.45736,-0.46349,0.00000,1.99937,1.99946,1.99975,0.77615,3.63356,5.43564,6.45282,0.00055,0.03155,0.02227,0.01092,0.77670,5.66448,7.45736,8.46349,24.964,49.8948,-4.4557,14.6705,4.1449,73.1001,354.4898,260.8266,,0.421721,-0.456741,-0.436266,0.21770,0.33875,-0.46532,-0.47919,0.00000,1.99936,1.99939,1.99976,0.78179,3.63014,5.44399,6.46797,0.00051,0.03174,0.02194,0.01146,0.78230,5.66125,7.46532,8.47919,242.92,219.7,205.75,195.43,187.57,183.93,181.46,169.9,162.8,162.63,0.0002,0.2103,0.0,0.1029,0.0047,0.0789,0.003,0.248,0.0001,0.0271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,N,O
COCOc1ccccc1[Li],20,0,1,7.6126,144.0979,1176.74,2111.5211,-468.174269877,0.154538,0.165332,0.166276,0.117323,-468.028936,-468.018142,-468.017198,-468.066151,C8H9LiO2,1.0,-0.18956,-0.05514,0.12235,0.06721,7.7506,1267.259,2101.1264,-0.528719,0.920056,2.309213,0.617975,2.382916,1.057023,1.331465,-0.314472,0.000138,2.8e-05,-4.7e-05,6.7e-05,0.4488672120830711,0.6463971050975457,0.5219477658904972,0.6367212083071114,0.263667,-0.138633,-0.211650,0.299662,0.682697,-0.604974,0.110306,0.570080,0.78024,-0.65560,-0.23425,0.27247,1.99808,1.99908,1.99909,1.99867,0.21630,4.63289,4.21948,3.70600,0.00538,0.02364,0.01567,0.02285,2.21976,6.65560,6.23425,5.72753,90.217,51.0356,54.1421,31.9105,14.7636,222.3955,158.4249,114.9337,-0.384763,-0.066483,-0.056748,0.344313,-0.06091,-0.42336,-0.26829,0.40259,1.99810,1.99918,1.99916,1.99871,1.05873,4.40376,4.25266,3.57667,0.00408,0.02043,0.01647,0.02202,3.06091,6.42336,6.26829,5.59741,418.02,398.06,354.88,278.04,275.49,260.71,254.02,248.99,239.67,236.06,0.0063,0.0245,0.0031,0.0604,0.0343,0.0042,0.0219,0.0795,0.0166,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li,C,C,C
COc1cc(OC)cc(c1)[Mg]Br,21,0,1,4.034,241.3669,1538.639,6012.2426,-3232.54022106,0.156596,0.16966,0.170605,0.114228,-3232.405526,-3232.392462,-3232.391518,-3232.447895,C8H9BrMgO2,1.0,-0.20782,-0.04315,0.125485,0.082335,16.0436,1721.81,5584.1857,1.902386,-0.168474,-0.88951,-0.890104,-0.104613,-0.045259,-1.244596,1.172406,-0.000206,-0.001181,-0.000672,-0.001106,0.44808055380742606,0.586453744493392,0.5431088735053493,0.5805538074260541,0.444056,-0.032837,-0.245804,-0.274265,1.098234,-0.160299,-0.277355,-0.299149,1.25272,-0.56324,-0.30738,-0.35282,9.99789,1.99917,1.99901,1.99900,0.73342,4.53393,4.29312,4.34021,0.01597,0.03014,0.01524,0.01361,10.74728,6.56324,6.30738,6.35282,518.795,50.7041,72.6418,82.883,279.0839,196.9022,122.5386,129.176,-0.133706,-0.021599,0.010372,-0.031465,0.59742,-0.54539,-0.12864,-0.19027,9.99815,1.99931,1.99904,1.99903,1.37551,4.51165,4.11527,4.17881,0.02892,0.03443,0.01432,0.01244,11.40258,6.54539,6.12864,6.19027,332.96,287.94,280.88,269.59,243.28,239.61,232.43,229.14,227.41,226.14,0.0001,0.0065,0.0231,0.0011,0.0782,0.0,0.4191,0.0095,0.0321,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
COc1cc(cc(c1OC)OC)C(=O)C,29,0,1,3.1645,210.2292,1930.93,3624.4201,-728.44257138,0.236054,0.251112,0.252056,0.194218,-728.214076,-728.199018,-728.198074,-728.255912,C11H14O4,1.0,-0.21608,-0.04628,0.13118,0.0849,1.1701,2206.777,3638.0513,3.498302,3.827773,3.1178,1.623439,-2.150064,-1.550427,-0.206341,-0.17777,0.997215,0.140531,0.107477,0.014561,0.3601321585903084,0.41755821271239774,0.5642699811202014,0.6497010698552549,0.171203,-0.540597,0.405527,0.089329,0.013264,-0.113233,1.026356,-0.221963,0.24857,-0.76663,0.57152,-0.14015,0.00000,1.99937,1.99930,1.99895,0.75061,4.76037,3.39382,4.12572,0.00081,0.00688,0.03537,0.01548,0.75143,6.76663,5.42848,6.14015,29.7461,164.0262,3.716,64.3908,4.2267,39.5581,152.4584,151.7167,,0.062457,0.303381,0.129335,0.26053,-0.70696,0.36470,-0.13263,0.00000,1.99932,1.99929,1.99890,0.73817,4.70089,3.60344,4.11844,0.00131,0.00675,0.03257,0.01530,0.73947,6.70696,5.63530,6.13263,324.91,308.8,277.73,226.58,214.98,204.27,201.8,197.45,184.18,183.23,0.0001,0.0347,0.1812,0.0005,0.1181,0.1897,0.0005,0.3072,0.2389,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,C,C
COc1ccc(cc1)B(O)O,20,0,1,3.9432,151.9563,1386.567,2322.6199,-522.738814618,0.15766,0.168166,0.16911,0.121238,-522.62535,-522.614845,-522.6139,-522.661773,C7H9BO3,1.0,-0.21109,-0.00416,0.107625,0.103465,1.5388,1333.238,2274.6184,2.635022,1.085656,0.247544,0.464315,-0.120115,0.023685,-1.101505,1.289412,0.000351,7.6e-05,-0.000305,-8e-05,0.5532567652611705,0.6518250471994965,0.5512114537444934,0.5486154814348647,0.355569,0.078948,-0.201641,-0.195975,1.356011,-0.481797,0.138172,0.131183,1.13501,-0.44921,-0.16709,-0.17485,1.99919,1.99893,1.99911,1.99911,1.83990,4.43327,4.15403,4.16224,0.02589,0.01701,0.01395,0.01350,3.86499,6.44921,6.16709,6.17485,85.4623,74.0622,58.6014,59.2118,17.4558,181.4408,176.6621,176.0893,0.335290,0.107510,-0.083242,-0.074796,1.08310,-0.36434,-0.21067,-0.20824,1.99922,1.99898,1.99915,1.99915,1.89175,4.34666,4.19286,4.19116,0.02593,0.01870,0.01865,0.01793,3.91690,6.36434,6.21067,6.20824,242.96,231.32,197.77,195.16,179.52,175.7,172.01,166.61,162.82,162.48,0.0043,0.3455,0.0,0.2145,0.6074,0.0,0.0002,0.0037,0.0027,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,C,C,C
COc1ccc(cc1)B1OCC(CO1)(C)C,33,0,1,2.4348,220.0745,2194.623,5474.7726,-718.101004948,0.279897,0.295396,0.296341,0.236959,-717.862651,-717.847151,-717.846207,-717.905588,C12H17BO3,1.0,-0.20909,-0.00364,0.106365,0.102725,1.5447,2025.806,5531.8483,-0.843847,0.707353,1.490209,1.384489,0.054036,0.12403,-1.03999,1.357742,-0.289253,-0.170726,-0.146975,-0.084448,0.6614222781623663,0.6522970421648836,0.5493234738829452,0.5474354940213971,0.425325,0.071235,-0.206621,-0.200697,1.421109,-0.503098,0.136471,0.129673,1.13279,-0.43988,-0.16636,-0.17404,1.99901,1.99893,1.99911,1.99911,1.84087,4.42430,4.15348,4.16163,0.02732,0.01665,0.01377,0.01331,3.86721,6.43988,6.16636,6.17404,86.2286,72.9829,59.3861,60.0382,15.665,181.5162,177.0233,176.405,0.404886,0.098737,-0.091450,-0.082068,1.07799,-0.35457,-0.21060,-0.20645,1.99903,1.99897,1.99915,1.99914,1.89564,4.33738,4.19305,4.18968,0.02734,0.01821,0.01840,0.01763,3.92201,6.35457,6.21060,6.20645,243.66,234.34,196.42,186.68,182.21,181.09,173.06,171.46,170.72,170.11,0.0049,0.4768,0.1924,0.0003,0.0494,0.6669,0.0377,0.0025,0.0015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,C,C,C
COc1ccc(cc1)[Li],16,0,1,5.7423,114.0717,1053.105,1131.5949,-353.652814316,0.122257,0.13067,0.131615,0.089013,-353.538779,-353.530366,-353.529421,-353.572023,C7H7LiO,1.0,-0.1774,-0.04926,0.11333,0.06407,13.1731,1146.026,1200.4135,-4.140884,-2.202146,-1.638955,-1.243381,-0.540578,-0.209891,1.091837,-1.245984,1.5e-05,3e-06,4e-06,-4e-06,0.35997482693517935,0.5948709880427943,0.5239144115796098,0.525173064820642,0.359705,-0.097852,-0.192855,-0.197862,0.683740,-0.544391,0.071527,0.072533,0.79322,-0.64168,-0.23948,-0.23722,1.99862,1.99925,1.99910,1.99911,0.20196,4.61645,4.22483,4.22194,0.00620,0.02599,0.01555,0.01617,2.20678,6.64168,6.23948,6.23722,90.7983,41.8707,53.0714,53.075,15.4822,229.4731,153.5661,153.3075,-0.298147,-0.003089,-0.019854,-0.007472,-0.05717,-0.29833,-0.23690,-0.19617,1.99878,1.99936,1.99918,1.99918,1.05565,4.27567,4.22152,4.18034,0.00274,0.02329,0.01620,0.01665,3.05717,6.29833,6.23690,6.19617,446.89,406.43,336.02,291.91,287.82,285.61,284.27,251.69,248.18,242.14,0.0096,0.1009,0.0001,0.0,0.0322,0.0745,0.2204,0.0074,0.0001,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li,C,C,C
COc1ccc(cc1)[Mg]Br,17,0,1,4.3062,211.3407,1311.338,5114.036,-3118.02131067,0.123945,0.134386,0.13533,0.085131,-3117.915755,-3117.905314,-3117.90437,-3117.954569,C7H7BrMgO,1.0,-0.2178,-0.04216,0.12997999999999998,0.08782,16.5237,1457.043,4730.3991,-1.665868,0.39822,1.098364,1.197734,0.025451,0.122196,1.351596,-1.036235,-0.000416,-0.000648,-0.000235,-0.000888,0.44446192573945875,0.5840151038388924,0.5180144745122719,0.5190371302706105,0.426511,-0.023532,-0.196986,-0.200615,1.107380,-0.439757,0.063766,0.069992,1.24471,-0.62856,-0.22368,-0.21863,9.99784,1.99914,1.99909,1.99910,0.74140,4.59987,4.20929,4.20382,0.01605,0.02956,0.01529,0.01571,10.75529,6.62856,6.22368,6.21863,516.2122,61.5008,54.5946,54.1635,277.7997,180.1263,159.9019,160.3821,-0.100396,0.029674,-0.014409,-0.006022,0.62209,-0.37999,-0.23438,-0.19525,9.99831,1.99930,1.99917,1.99917,1.34958,4.34664,4.21956,4.18010,0.03002,0.03406,0.01565,0.01598,11.37791,6.37999,6.23438,6.19525,308.38,257.26,255.19,252.87,245.17,228.65,227.68,226.98,218.86,216.91,0.009,0.0001,0.0,0.2343,0.0086,0.501,0.0297,0.0383,0.0,0.0511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,C,C
COc1ccc(cc1)[Zn](C)(C)(C)([Li])[Li],30,0,1,7.9769,231.4958,2034.818,3956.8466,-2259.904673,0.23079,0.249657,0.250601,0.183644,-2259.88438,-2259.865513,-2259.864569,-2259.931526,C10H16Li2OZn,1.0,-0.20778,-0.01762,0.1127,0.09508,1.9489,2034.818,4159.8528,-2.12453,0.05208,0.929282,0.72009,-0.503484,-0.05375,1.051724,-1.308709,0.032575,-0.032541,-0.034251,-0.022447,0.7494493392070485,0.7771397105097546,0.6508023914411579,0.5785871617369415,0.684629,-0.154547,-0.226507,-0.201561,0.908350,-0.600039,-0.026526,0.067892,1.06640,-0.56303,-0.28932,-0.20930,17.99099,1.99915,1.99913,1.99909,10.93588,4.53434,4.27181,4.19264,0.00673,0.02954,0.01839,0.01757,28.93360,6.56303,6.28932,6.20930,1673.6729,40.6199,68.5117,55.3833,564.4969,246.0774,147.8427,168.879,0.733975,-0.148201,0.009469,-0.059688,1.07805,-0.54855,-0.26834,-0.20857,17.99052,1.99904,1.99911,1.99906,10.92170,4.51783,4.25113,4.19148,0.00973,0.03168,0.01809,0.01803,28.92195,6.54855,6.26834,6.20857,289.02,284.71,271.8,267.9,260.02,256.15,251.9,247.81,241.71,237.14,0.0022,0.0005,0.0001,0.0001,0.0284,0.0308,0.0021,0.014,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn,C,C,C
COc1ccc(cc1)n1cnc2c1cccc2,29,0,1,4.5688,224.2616,1851.444,5112.3401,-725.436308908,0.232271,0.245454,0.246398,0.191574,-725.20865,-725.195467,-725.194523,-725.249347,C14H12N2O,1.0,-0.21108,-0.01893,0.115005,0.096075,5.5023,1471.661,5089.0128,-0.838556,-1.448484,-0.852497,-2.752888,-2.841765,-1.967992,-0.754914,-1.931842,-0.624212,-0.430862,-0.129175,-0.47799,0.3705947136563877,0.5025173064820642,0.6676368785399622,0.45980176211453744,0.163011,0.209010,-0.610587,-0.502425,0.058581,0.446000,-0.599532,-0.613663,0.22593,0.22528,-0.40421,-0.48232,0.00000,1.99936,1.99925,1.99947,0.77338,3.74910,5.39287,5.46121,0.00069,0.02625,0.01209,0.02165,0.77407,5.77472,7.40421,7.48232,24.7281,55.7412,88.863,5.7891,6.3402,77.3262,98.9884,356.7756,,0.430100,-0.558359,-0.469371,0.24924,0.23805,-0.28017,-0.42531,0.00000,1.99936,1.99926,1.99947,0.74971,3.73611,5.26813,5.40429,0.00105,0.02647,0.01277,0.02155,0.75076,5.76195,7.28017,7.42531,269.77,260.96,251.35,246.93,240.21,237.3,232.8,223.44,213.79,210.84,0.0207,0.1845,0.0031,0.0375,0.0876,0.1827,0.0164,0.0026,0.0568,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,N,N
C[Mg]Br,6,0,1,5.399,119.2437,702.508,610.1304,-2811.7492513,0.036139,0.041246,0.04219,0.007445,-2811.747358,-2811.742251,-2811.741307,-2811.776052,CH3BrMg,1.0,-0.26206,-0.04124,0.15165,0.11041000000000001,4.4355,580.333,702.0181,1.107375,3.186763,3.5887,3.585283,0.000579,-0.000108,-0.582086,-0.437578,0.000289,-0.000466,-0.838637,0.923102,0.42172750157331657,0.3262271869100063,0.27690371302706107,0.2788703587161737,0.558819,-0.753636,0.161522,0.161332,0.998381,-0.303406,-0.031216,-0.031670,1.22522,-1.32264,0.24153,0.24132,9.99863,1.99958,0.00000,0.00000,0.76178,5.30752,0.75797,0.75818,0.01437,0.01555,0.00050,0.00050,10.77478,7.32264,0.75847,0.75868,497.1277,206.9928,32.8778,32.8814,326.4525,3.6641,11.0137,11.0028,0.039983,-0.291536,,,0.61535,-1.31008,0.22283,0.22286,9.99824,1.99953,0.00000,0.00000,1.34412,5.28950,0.77653,0.77649,0.04229,0.02105,0.00064,0.00065,11.38465,7.31008,0.77717,0.77714,227.04,227.04,219.18,209.8,209.76,197.2,196.65,196.65,186.41,166.24,0.0338,0.0339,0.2925,0.0592,0.0591,0.0,0.0,0.0,0.059,0.2195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,C,H,H
Cc1cc(C)c(c(c1)C)[Li],21,0,1,5.5944,126.1259,1397.909,1453.9335,-357.085206087,0.171363,0.18112,0.182065,0.135817,-356.919037,-356.90928,-356.908336,-356.954583,C9H11Li,1.0,-0.18663,-0.04848,0.11755499999999999,0.069075,7.3968,1397.909,1516.1217,3.329941,1.347263,0.628579,0.572923,0.075978,0.030912,-1.189403,1.21248,9e-06,-1e-06,-8e-06,4e-06,0.42078351164254246,0.6704688483322845,0.6434864694776589,0.6428571428571429,0.324129,-0.167286,0.110241,0.096990,0.669299,-0.471359,0.058767,0.016033,0.77215,-0.57655,-0.04973,-0.05124,1.99877,1.99907,1.99898,1.99899,0.22469,4.55436,4.03460,4.03599,0.00438,0.02312,0.01615,0.01626,2.22785,6.57655,6.04973,6.05124,90.7226,28.6551,50.1859,49.3411,14.285,196.5882,170.4065,171.8668,-0.016570,-0.216615,0.114214,0.110552,0.10197,-0.13413,-0.07656,-0.07660,1.99566,1.99864,1.99898,1.99899,0.90022,4.11624,4.06188,4.06208,0.00216,0.01925,0.01570,0.01553,2.89803,6.13413,6.07656,6.07660,409.06,404.81,368.07,304.13,285.65,282.18,275.35,272.08,257.36,249.63,0.112,0.0061,0.0003,0.0735,0.0528,0.1115,0.0256,0.0001,0.0002,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li,C,C,C
Cc1cc(C)c(c(c1)C)n1cncc1,28,0,1,4.0026,186.256,1373.705,2976.6941,-575.212256783,0.235046,0.248703,0.249647,0.192972,-574.983829,-574.970173,-574.969229,-575.025903,C12H14N2,1.0,-0.22115,-0.01449,0.11782000000000001,0.10333,8.6017,1741.661,2950.5386,-1.86901,-2.2716,-1.4497,-3.546019,-0.000394,-0.00022,0.000146,-0.000243,2.09768,1.093083,-0.006225,0.768122,0.3775959723096287,0.5365009439899308,0.7187696664568911,0.4374606670862177,0.154567,0.186365,-0.463100,-0.434198,0.057111,0.280493,-0.387694,-0.490169,0.22206,0.18153,-0.40900,-0.49462,0.00000,1.99936,1.99931,1.99952,0.77735,3.79226,5.39725,5.47299,0.00059,0.02686,0.01243,0.02212,0.77794,5.81847,7.40900,7.49462,25.2976,62.4455,77.5337,-10.919,6.1917,81.2567,124.0231,391.2707,,0.558892,-0.447361,-0.405294,0.26472,0.39945,-0.34852,-0.50940,0.00000,1.99935,1.99936,1.99952,0.73510,3.57563,5.33445,5.48640,0.00018,0.02557,0.01471,0.02347,0.73528,5.60055,7.34852,7.50940,255.07,238.25,237.69,216.18,208.56,200.63,196.97,196.47,196.11,190.84,0.0,0.0002,0.0036,0.0942,0.0001,0.0092,0.0143,0.067,0.0006,0.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,N,N
Cc1cc2ncn(c2cc1C)C,24,0,1,3.572,160.2182,1193.12,2172.4336,-497.809477118,0.202413,0.213397,0.214341,0.16616,-497.611018,-497.600035,-497.59909,-497.647271,C10H12N2,1.0,-0.21101,-0.0051,0.108055,0.102955,3.3215,1482.877,2188.4201,3.705797,2.643485,1.692837,2.195018,-1.168211,-0.952507,-1.851248,0.351156,-0.000333,-0.000254,8.9e-05,-0.000191,0.33377910635619884,0.47844556324732535,0.4579924480805538,0.6097388294524858,0.152153,0.207845,-0.506161,-0.495304,0.040356,0.346381,-0.529614,-0.507051,0.21903,0.21938,-0.48925,-0.40432,0.00000,1.99936,1.99947,1.99928,0.78032,3.75430,5.46824,5.39391,0.00065,0.02696,0.02153,0.01114,0.78097,5.78062,7.48925,7.40432,25.1072,55.5403,8.5157,116.5081,4.8348,71.9552,349.3929,87.2967,,0.329868,-0.495124,-0.483653,0.21657,0.17324,-0.47794,-0.38450,0.00000,1.99937,1.99948,1.99928,0.78272,3.79719,5.45616,5.37301,0.00072,0.03021,0.02230,0.01220,0.78343,5.82676,7.47794,7.38450,251.78,237.91,213.94,198.9,193.19,184.23,182.11,181.55,170.56,170.51,0.0424,0.0896,0.0014,0.2769,0.7713,0.1509,0.023,0.0004,0.0001,0.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,N,N
Cc1ccc(cc1)Br,15,0,1,2.1635,171.0363,1046.524,1795.1675,-2842.67100966,0.118257,0.124985,0.125929,0.085975,-2842.553532,-2842.546804,-2842.545859,-2842.585814,C7H7Br,1.0,-0.23382,-0.01193,0.122875,0.110945,0.6832,1411.59,1812.1866,-2.254415,-0.340122,0.34791,0.34467,-0.001149,0.001932,-1.210583,1.213177,0.000331,5e-05,-0.000426,-0.000435,0.37460667086217747,0.611941472624292,0.5248584015103839,0.5250157331655129,-0.138628,0.079100,-0.145474,-0.144111,-0.276153,0.354174,-0.115493,-0.105898,0.04808,-0.11502,-0.24113,-0.24128,27.99915,1.99858,1.99892,1.99892,6.93576,4.09489,4.22715,4.22732,0.01700,0.02155,0.01506,0.01504,34.95192,6.11502,6.24113,6.24128,2199.3403,57.4593,64.7636,64.8909,1160.4818,102.4648,139.3854,138.8603,-0.027396,0.066858,-0.016827,-0.023896,0.18043,-0.09780,-0.27040,-0.29036,27.99902,1.99859,1.99895,1.99894,6.80289,4.07771,4.25067,4.27006,0.01766,0.02149,0.02078,0.02136,34.81957,6.09780,6.27040,6.29036,239.27,225.88,214.98,197.91,192.21,188.62,187.64,183.87,182.33,168.32,0.0082,0.0002,0.1902,0.0,0.0,0.0001,0.1401,0.0125,0.3388,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Br,C,C,C
Cc1ccc(cc1)C(=O)C,20,0,1,3.2991,134.1774,1160.297,1726.5683,-424.211453202,0.165937,0.175661,0.176605,0.129402,-424.048824,-424.0391,-424.038156,-424.08536,C9H10O,1.0,-0.24386,-0.05057,0.14721499999999998,0.096645,1.9093,1045.901,1737.5879,2.809591,3.02246,2.185315,0.692938,1.705219,1.091334,-0.178666,-0.061099,-0.88295,0.000434,0.000238,-6.6e-05,0.35997482693517935,0.4170862177470107,0.5640339836375079,0.6498584015103839,0.169558,-0.542688,0.406359,0.075780,0.011030,-0.112125,1.001511,-0.334613,0.24731,-0.76724,0.56821,-0.16367,0.00000,1.99937,1.99930,1.99894,0.75186,4.76094,3.39714,4.14972,0.00082,0.00692,0.03535,0.01501,0.75269,6.76724,5.43179,6.16367,29.6999,163.885,3.8425,62.8827,4.3443,38.8546,151.655,159.8967,,0.062542,0.309088,0.108949,0.26072,-0.70783,0.37152,-0.16114,0.00000,1.99932,1.99928,1.99889,0.73803,4.70177,3.59669,4.14744,0.00125,0.00674,0.03252,0.01481,0.73928,6.70783,5.62848,6.16114,329.67,257.43,241.79,221.57,199.8,189.2,183.84,183.84,173.48,170.5,0.0,0.0152,0.3158,0.0,0.1021,0.0012,0.1819,0.1392,0.0005,0.1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,C,C,C
Cc1ccc(cc1)[Zn](C)(C)(C)([Li])[Li],29,0,1,8.0589,215.4964,2019.016,2728.179,-2184.68406915,0.225836,0.244512,0.245456,0.179318,-2184.682772,-2184.664096,-2184.663152,-2184.729291,C10H16Li2Zn,1.0,-0.20877,-0.01835,0.11356000000000001,0.09521,0.3433,2262.691,2805.8948,1.377575,-2.81531,-3.606736,-1.416622,-0.455477,1.573389,0.433705,1.431049,0.001043,0.000124,0.000273,-0.00054,0.7857142857142857,0.5020453115166772,0.48607614852108244,0.6581969792322215,0.724474,-0.114781,-0.134750,-0.226893,0.886001,-0.035226,-0.016545,-0.120829,1.05653,-0.23013,-0.22583,-0.31378,17.99071,1.99905,1.99907,1.99912,10.94571,4.21603,4.21267,4.29641,0.00706,0.01505,0.01409,0.01825,28.94347,6.23013,6.22583,6.31378,1671.1458,68.1427,66.4012,69.768,488.2214,164.7046,164.881,146.0167,0.798122,0.032917,0.007610,0.010506,1.08731,-0.21626,-0.21548,-0.29232,17.99013,1.99904,1.99907,1.99910,10.91394,4.20172,4.20241,4.27515,0.00862,0.01550,0.01399,0.01807,28.91269,6.21626,6.21548,6.29232,288.54,278.85,273.58,273.1,271.24,264.11,247.53,243.05,242.14,238.65,0.002,0.0005,0.0008,0.0,0.0121,0.0012,0.0337,0.0009,0.0087,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn,C,C,C
