react,fragC,fragO,product
COc1nc(OC)nc(Oc2cc(C)cc(C)c2)n1,*Oc1nc(OC)nc(OC)n1,*c1cc(C)cc(C)c1,COc2ccc(c1cc(C)cc(C)c1)cc2
COc1nc(OC)nc(Oc2ccc(C(C)(C)C)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(C)(C)C)cc1,COc2ccc(c1ccc(C(C)(C)C)cc1)cc2
COc1nc(OC)nc(Oc2cccc(NC(C)=O)c2)n1,*Oc1nc(OC)nc(OC)n1,*c1cccc(NC(C)=O)c1,COc2ccc(c1cccc(NC(C)=O)c1)cc2
COC(=O)c1ccc(Oc2nc(OC)nc(OC)n2)cc1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(=O)OC)cc1,COC(=O)c2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(C#N)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C#N)cc1,N#Cc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(C=O)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C=O)cc1,O=Cc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(C(C)=O)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(C)=O)cc1,CC(=O)c2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(F)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(F)cc1,COc2ccc(c1ccc(F)cc1)cc2
COc1nc(OC)nc(Oc2ccc(C(F)(F)F)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(F)(F)F)cc1,COc2ccc(c1ccc(C(F)(F)F)cc1)cc2
COc1nc(OC)nc(Oc2ccc(C=O)cc2C)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C=O)cc1C,Cc1cc(C=O)ccc1c2ccccc2
COc1nc(OC)nc(Oc2cccnc2)n1,*Oc1nc(OC)nc(OC)n1,*c1cccnc1,c2ccc(c1cccnc1)cc2
COc1nc(OC)nc(Oc2ccc3c(C)cc(=O)oc3c2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc2c(C)cc(=O)oc2c1,Cc2cc(=O)oc3cc(c1ccccc1)ccc23
COc1nc(OC)nc(Oc2ccc3c(c2)CCC2C3CC[C@]3(C)C(=O)CCC23)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc2c(c1)CCC1C2CC[C@]2(C)C(=O)CCC12,C[C@]45CCC3c2ccc(c1ccccc1)cc2CCC3C4CCC5=O
COc1ccc2cc(-c3ccccn3)ccc2c1,*c1ccc2cc(-c3ccccn3)ccc2c1,*OC,Cn5c(c3ccc2cc(c1ccccn1)ccc2c3)nc4ccccc45
COc1ccc2cc(N(c3ccccc3)c3ccccc3)ccc2c1,*c1ccc2cc(N(c3ccccc3)c3ccccc3)ccc2c1,*OC,Cn6c(c4ccc3cc(N(c1ccccc1)c2ccccc2)ccc3c4)nc5ccccc56
COc1ccc2cc(-c3ccccc3C)ccc2c1,*c1ccc2cc(-c3ccccc3C)ccc2c1,*OC,Cc1ccccc1c5ccc4cc(c3nc2ccccc2n3C)ccc4c5
COc1ccc2cc(-c3cccc(C)c3)ccc2c1,*c1ccc2cc(-c3cccc(C)c3)ccc2c1,*OC,Cc5cccc(c4ccc3cc(c2nc1ccccc1n2C)ccc3c4)c5
