,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,Y_0,Z_0,VBur_0,Mulliken_charge_0,APT_charge_0,NPA_charge_0,NPA_core_0,NPA_valence_0,NPA_Rydberg_0,NPA_total_0,NMR_shift_0,NMR_anisotropy_0,ES_root_Mulliken_charge_0,ES_root_NPA_charge_0,ES_root_NPA_core_0,ES_root_NPA_valence_0,ES_root_NPA_Rydberg_0,ES_root_NPA_total_0,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0
Br[Mg]c1ccccc1,13,0,1,3.3715,181.3145,1204.848,3153.8801,-3003.50245555,0.091035,0.098931,0.099875,0.055706,-3003.424991,-3003.417095,-3003.416151,-3003.46032,C6H5BrMg,1.0,-0.24715,-0.04514,0.146145,0.10100500000000001,13.3713,1204.848,2874.7163,-0.735089,-0.000363,-0.000279,0.44745122718691,0.436541,1.086007,1.24866,9.99792,0.73751,0.01590,10.75134,518.0826,278.0812,-0.075719,0.62421,9.99846,1.34833,0.02899,11.37579,266.79,262.45,240.17,230.98,229.52,227.79,225.15,224.92,224.63,221.94,0.0102,0.0,0.0038,0.2519,0.0057,0.0365,0.3154,0.0,0.0705,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccccc1C,16,0,1,3.6429,195.3413,1386.991,3848.1059,-3042.81876808,0.118476,0.127384,0.128329,0.081607,-3042.715615,-3042.706707,-3042.705763,-3042.752484,C7H7BrMg,1.0,-0.23673,-0.04376,0.140245,0.096485,14.8618,1454.649,3585.7366,1.113818,0.105064,0.000382,0.4450912523599748,0.435366,1.087935,1.24759,9.99791,0.73854,0.01597,10.75241,517.9814,278.4583,-0.113514,0.60917,9.99829,1.36337,0.02917,11.39083,277.29,266.66,247.21,232.86,232.54,230.2,228.51,227.44,225.36,224.74,0.0041,0.0059,0.0108,0.227,0.0001,0.0002,0.3244,0.0355,0.0618,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Zn]c1ccc(cc1)C,16,0,1,3.9702,236.4163,1540.039,3835.0307,-4621.8514232,0.118442,0.127496,0.12844,0.08105,-4621.744489,-4621.735435,-4621.734491,-4621.781881,C7H7BrZn,1.0,-0.24458,-0.02985,0.137215,0.10736499999999999,5.4071,1207.873,3623.7701,-0.99104,-0.001994,-0.000164,0.5587633731906859,0.496085,0.885580,1.01983,17.99729,10.97021,0.01267,28.98017,1851.2149,961.2211,0.349112,0.82880,17.99735,11.15973,0.01413,29.17120,240.61,232.35,228.84,223.68,220.92,212.94,206.72,203.89,200.62,199.98,0.0029,0.0043,0.317,0.0,0.0,0.0005,0.0078,0.0,0.0481,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
CC(c1ccc(cc1)[Li])(C)C,24,0,1,6.2565,140.1527,1484.504,1761.1117,-396.387467205,0.202482,0.213809,0.214753,0.165967,-396.190785,-396.179459,-396.178515,-396.227301,C10H13Li,1.0,-0.18907,-0.05032,0.119695,0.06937499999999999,7.6714,1175.232,1842.7231,4.807727,-0.018244,0.0,0.3591881686595343,0.368209,0.685756,0.79633,1.99867,0.19887,0.00613,2.20367,90.874,15.7002,-0.028703,0.12124,1.99567,0.88047,0.00262,2.87876,411.83,391.14,346.95,291.24,290.11,267.1,263.17,254.89,247.61,246.85,0.1109,0.0111,0.0001,0.0709,0.0331,0.0,0.2417,0.0058,0.0019,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
CCCCCCCCC=C[Li],30,0,1,5.4176,146.2001,2021.758,4561.102,-399.980367289,0.269038,0.283003,0.283947,0.227074,-399.722829,-399.708865,-399.70792,-399.764793,C10H19Li,1.0,-0.18358,-0.04513,0.114355,0.069225,7.4693,1640.295,4804.5952,7.227099,-1.035172,-0.000588,0.3461296412838263,0.325354,0.665454,0.77827,1.99853,0.21539,0.00782,2.22173,91.0016,16.0182,-0.047984,0.11748,1.99589,0.88429,0.00234,2.88252,412.01,393.48,294.86,289.44,268.06,254.69,216.72,214.6,206.39,203.76,0.0884,0.0178,0.0594,0.0433,0.0019,0.2611,0.0152,0.0009,0.0515,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
CC[Mg]Br,9,0,1,5.4119,133.2705,889.075,1089.0853,-2851.05413587,0.0655,0.071791,0.072736,0.034045,-2851.025238,-2851.018947,-2851.018003,-2851.056693,C2H5BrMg,1.0,-0.24287,-0.04162,0.142245,0.100625,6.0943,1073.021,1180.6128,-0.572408,0.257594,-0.000103,0.43714600377595975,0.516870,0.965141,1.21591,9.99853,0.77056,0.01500,10.78409,504.6643,314.901,0.098092,0.86546,9.99598,1.08808,0.05049,11.13454,244.08,233.28,231.77,226.86,226.42,200.26,199.07,198.33,189.74,173.43,0.2573,0.0303,0.0023,0.0839,0.0821,0.0002,0.0007,0.0,0.0205,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
CCn1c2ccccc2c2c1cc([Li])cc2,28,0,1,7.6057,201.1955,1218.862,3189.9016,-602.970401377,0.222602,0.235908,0.236852,0.182459,-602.765735,-602.75243,-602.751486,-602.805879,C14H12LiN,1.0,-0.16905,-0.05219,0.11062,0.05843,16.623,1950.179,3360.977,5.315102,-0.026295,-0.104312,0.3602108244178729,0.374389,0.705419,0.80021,1.99866,0.19512,0.00600,2.19979,90.6503,16.0956,-0.384981,-0.13889,1.99861,1.13657,0.00371,3.13889,464.9,442.31,408.18,328.35,302.42,301.66,300.24,297.99,290.2,287.61,0.0001,0.0081,0.145,0.0193,0.0004,0.0003,0.3288,0.0637,0.001,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
CN(c1ccc(cc1)[Li])C,20,0,1,4.5282,127.1137,1112.879,1495.5387,-373.090353157,0.162625,0.172121,0.173066,0.127881,-372.940374,-372.930877,-372.929933,-372.975117,C8H10LiN,1.0,-0.15035,-0.04539,0.09787000000000001,0.052480000000000006,16.8751,1483.839,1545.4246,4.534918,-0.001322,-0.000555,0.35934550031466334,0.338795,0.677673,0.78015,1.99859,0.21473,0.00652,2.21985,90.6859,15.6765,-0.316739,-0.07443,1.99877,1.07317,0.00248,3.07443,561.84,420.25,347.3,335.95,326.25,294.46,290.78,265.62,264.79,247.62,0.0073,0.1067,0.0,0.0,0.2564,0.0272,0.0759,0.0342,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
COCOc1ccccc1[Li],20,0,1,7.6126,144.0979,1176.74,2111.5211,-468.174269877,0.154538,0.165332,0.166276,0.117323,-468.028936,-468.018142,-468.017198,-468.066151,C8H9LiO2,1.0,-0.18956,-0.05514,0.12235,0.06721,7.7506,1267.259,2101.1264,-0.528719,2.382916,0.000138,0.4488672120830711,0.263667,0.682697,0.78024,1.99808,0.21630,0.00538,2.21976,90.217,14.7636,-0.384763,-0.06091,1.99810,1.05873,0.00408,3.06091,418.02,398.06,354.88,278.04,275.49,260.71,254.02,248.99,239.67,236.06,0.0063,0.0245,0.0031,0.0604,0.0343,0.0042,0.0219,0.0795,0.0166,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
COc1cc(OC)cc(c1)[Mg]Br,21,0,1,4.034,241.3669,1538.639,6012.2426,-3232.54022106,0.156596,0.16966,0.170605,0.114228,-3232.405526,-3232.392462,-3232.391518,-3232.447895,C8H9BrMgO2,1.0,-0.20782,-0.04315,0.125485,0.082335,16.0436,1721.81,5584.1857,1.902386,-0.104613,-0.000206,0.44808055380742606,0.444056,1.098234,1.25272,9.99789,0.73342,0.01597,10.74728,518.795,279.0839,-0.133706,0.59742,9.99815,1.37551,0.02892,11.40258,332.96,287.94,280.88,269.59,243.28,239.61,232.43,229.14,227.41,226.14,0.0001,0.0065,0.0231,0.0011,0.0782,0.0,0.4191,0.0095,0.0321,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
