react,C0C7_num
CC(C)(C)P(C(C)(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7(P(C(C)(C)C)C(C)(C)C)C28,P([C:2]([CH3:8])([CH3:8])[CH3:8])([C:3]([CH3:8])([CH3:8])[CH3:8])[C:4]12[CH:8]3[CH:8]4[CH:8]5[CH:8]1[Fe:8]23451678[C:5]2([P:1]([C:6]([CH3:8])([CH3:8])[CH3:8])[C:7]([CH3:8])([CH3:8])[CH3:8])[CH:8]1[CH:8]6[CH:8]7[CH:8]28
CC(C)(C)P(C1CCCCC1)C1CCCCC1,P([C:1]([CH3:4])([CH3:4])[CH3:4])([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
CC(C)(C)P(CCP(C(C)(C)C)C(C)(C)C)C(C)(C)C,P([C:2]([CH3:8])([CH3:8])[CH3:8])([CH2:3][CH2:5][P:1]([C:6]([CH3:8])([CH3:8])[CH3:8])[C:7]([CH3:8])([CH3:8])[CH3:8])[C:4]([CH3:8])([CH3:8])[CH3:8]
CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,P([C:1]([CH3:4])([CH3:4])[CH3:4])([c:2]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[C:3]([CH3:4])([CH3:4])[CH3:4]
CC(C)CP(CC(C)C)CC(C)C,P([CH2:1][CH:4]([CH3:4])[CH3:4])([CH2:2][CH:4]([CH3:4])[CH3:4])[CH2:3][CH:4]([CH3:4])[CH3:4]
CC(C)N1[C]N(C(C)C)C=C1,[C]1[N:1]([CH:5]([CH3:7])[CH3:7])[CH:4]=[CH:3][N:2]1[CH:6]([CH3:7])[CH3:7]
CC(C)N1[C]N(CN2[C]N(C(C)C)C=C2)C=C1,[C]1[N:1]([CH:5]([CH3:7])[CH3:7])[CH:4]=[CH:3][N:2]1[CH2:6][N:7]1[C:7][N:7]([CH:7]([CH3:7])[CH3:7])[CH:7]=[CH:7]1
CC(C)N1c2ccccc2N(C(C)C)C1[C]C1N(C)c2ccccc2N1C,[CH3:4][CH:4]([CH3:4])[N:4]1[c:4]2[cH:4][cH:4][cH:4][cH:4][c:4]2[N:3]([CH:4]([CH3:4])[CH3:4])[CH:2]1[C:0][CH:1]1[N:4]([CH3:4])[c:4]2[cH:4][cH:4][cH:4][cH:4][c:4]2[N:4]1[CH3:4]
CC(C)N1c2ccccc2N(C)C1[C]C1N(C)c2ccccc2N1C(C)C,[CH3:4][CH:4]([CH3:4])[N:4]1[c:4]2[cH:4][cH:4][cH:4][cH:4][c:4]2[N:3]([CH3:4])[CH:1]1[C:0][CH:2]1[N:4]([CH3:4])[c:4]2[cH:4][cH:4][cH:4][cH:4][c:4]2[N:4]1[CH:4]([CH3:4])[CH3:4]
CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[c:4]1[c:4]([O:4][CH:4]([CH3:4])[CH3:4])[cH:4][cH:4][cH:4][c:4]1[O:4][CH:4]([CH3:4])[CH3:4])([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
CC(C)P(C(C)C)C(C)C,P([CH:1]([CH3:4])[CH3:4])([CH:2]([CH3:4])[CH3:4])[CH:3]([CH3:4])[CH3:4]
CC(C)P(C(C)C)C(Nc1ccccc1-n1nc(-c2ccccc2)cc1-c1ccccc1)c1ccccc1,P([CH:1]([CH3:4])[CH3:4])([CH:2]([CH3:4])[CH3:4])[CH:3]([NH:4][c:4]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[n:4]1[n:4][c:4](-[c:4]2[cH:4][cH:4][cH:4][cH:4][cH:4]2)[cH:4][c:4]1-[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1
CC(C)P(C(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7(P(C(C)C)C(C)C)C28,P([CH:2]([CH3:8])[CH3:8])([CH:3]([CH3:8])[CH3:8])[C:4]12[CH:8]3[CH:8]4[CH:8]5[CH:8]1[Fe:8]23451678[C:5]2([P:1]([CH:6]([CH3:8])[CH3:8])[CH:7]([CH3:8])[CH3:8])[CH:8]1[CH:8]6[CH:8]7[CH:8]28
CC(C)P(CCP(C(C)C)C(C)C)C(C)C,P([CH:2]([CH3:8])[CH3:8])([CH2:3][CH2:5][P:1]([CH:6]([CH3:8])[CH3:8])[CH:7]([CH3:8])[CH3:8])[CH:4]([CH3:8])[CH3:8]
CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(C3CCCC3)C3CCCC3)c2)c(C(C)C)c1,P([c:1]1[cH:4][c:4](-[c:4]2[c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][c:4]2[CH:4]([CH3:4])[CH3:4])[cH:4][c:4](-[c:4]2[c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][c:4]2[CH:4]([CH3:4])[CH3:4])[cH:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4]1
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[c:4]1[c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][c:4]1[CH:4]([CH3:4])[CH3:4])([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
