react,C0C7_num
c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,P([c:2]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)([CH2:3][CH2:8][CH2:5][P:1]([c:6]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:7]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:4]1[cH:8][cH:8][cH:8][cH:8][cH:8]1
c1ccc(P(CCP(C2CCCCC2)C2CCCCC2)c2ccccc2)cc1,P([c:2]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)([CH2:3][CH2:5][P:1]([CH:6]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:7]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[c:4]1[cH:8][cH:8][cH:8][cH:8][cH:8]1
c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,P([c:2]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)([CH2:3][CH2:5][P:1]([c:6]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:7]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:4]1[cH:8][cH:8][cH:8][cH:8][cH:8]1
c1ccc(P(c2ccccc2)C23C4C5C6C2[Fe]56432789C3C2C7C8(P(c2ccccc2)c2ccccc2)C39)cc1,P([c:2]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)([c:3]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[C:4]12[CH:8]3[CH:8]4[CH:8]5[CH:8]1[Fe:8]23451678[C:5]2([P:1]([c:6]3[cH:8][cH:8][cH:8][cH:8][cH:8]3)[c:7]3[cH:8][cH:8][cH:8][cH:8][cH:8]3)[CH:8]1[CH:8]6[CH:8]7[CH:8]28
c1ccc(P(c2ccccc2)C2CCCCC2)cc1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([c:2]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,P([c:2]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)([c:3]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:4]1[cH:8][cH:8][c:8]2[cH:8][cH:8][cH:8][cH:8][c:8]2[c:8]1-[c:8]1[c:5]([P:1]([c:6]2[cH:8][cH:8][cH:8][cH:8][cH:8]2)[c:7]2[cH:8][cH:8][cH:8][cH:8][cH:8]2)[cH:8][cH:8][c:8]2[cH:8][cH:8][cH:8][cH:8][c:8]12
c1ccc(P(c2ccccc2)c2ccccc2)cc1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([c:2]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:3]1[cH:4][cH:4][cH:4][cH:4][cH:4]1
c1ccc2c(P(C3CCCCC3)C3CCCCC3)c(P(C3CCCCC3)C3CCCCC3)sc2c1,P([c:2]1[c:5]([P:1]([CH:6]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[CH:7]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[s:8][c:8]2[cH:8][cH:8][cH:8][cH:8][c:8]12)([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
c1cnc2c(c1)ccc1cccnc12,[cH:8]1[cH:5][n:0][c:6]2[c:7]([cH:8]1)[cH:8][cH:8][c:8]1[cH:8][cH:4][cH:3][n:1][c:2]12
c1scc(P(C2CCCCC2)C2CCCCC2)c1P(C1CCCCC1)C1CCCCC1,P([c:2]1[c:5]([P:1]([CH:6]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[CH:7]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[cH:8][s:8][cH:8]1)([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,[CH3:4][c:4]1[cH:4][cH:4][cH:4][cH:4][c:2]1[P:0]([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1[CH3:4])[c:3]1[cH:4][cH:4][cH:4][cH:4][c:4]1[CH3:4]
